time,team,site,odds
2020-12-27 13:05:19.581906,Chicago Bears,betonlineag,1.21
2020-12-27 13:05:19.581915,Chicago Bears,fanduel,1.26
2020-12-27 13:05:19.581917,Chicago Bears,lowvig,1.22
2020-12-27 13:05:19.581919,Chicago Bears,williamhill_us,1.2
2020-12-27 13:05:19.581920,Chicago Bears,bookmaker,1.22
2020-12-27 13:05:19.581922,Chicago Bears,caesars,1.26
2020-12-27 13:05:19.581923,Chicago Bears,betfair,1.24
2020-12-27 13:05:19.581925,Chicago Bears,unibet,1.2
2020-12-27 13:05:19.581926,Chicago Bears,sugarhouse,1.2
2020-12-27 13:05:19.581928,Chicago Bears,betrivers,1.2
2020-12-27 13:05:19.581929,Chicago Bears,draftkings,1.2
2020-12-27 13:05:19.581931,Chicago Bears,gtbets,1.25
2020-12-27 13:05:19.581932,Chicago Bears,betmgm,1.25
2020-12-27 13:05:19.581934,Chicago Bears,mybookieag,1.22
2020-12-27 13:05:19.581935,Chicago Bears,bovada,1.18
2020-12-27 13:05:19.581937,Chicago Bears,pointsbetus,1.26
2020-12-27 13:05:19.581938,Chicago Bears,intertops,1.22
2020-12-27 13:05:19.581940,Jacksonville Jaguars,betonlineag,4.7
2020-12-27 13:05:19.581942,Jacksonville Jaguars,fanduel,3.9
2020-12-27 13:05:19.581943,Jacksonville Jaguars,lowvig,4.7
2020-12-27 13:05:19.581945,Jacksonville Jaguars,williamhill_us,5.0
2020-12-27 13:05:19.581946,Jacksonville Jaguars,bookmaker,4.61
2020-12-27 13:05:19.581948,Jacksonville Jaguars,caesars,3.65
2020-12-27 13:05:19.581949,Jacksonville Jaguars,betfair,5.0
2020-12-27 13:05:19.581951,Jacksonville Jaguars,unibet,4.4
2020-12-27 13:05:19.581952,Jacksonville Jaguars,sugarhouse,4.4
2020-12-27 13:05:19.581954,Jacksonville Jaguars,betrivers,4.4
2020-12-27 13:05:19.581956,Jacksonville Jaguars,draftkings,4.4
2020-12-27 13:05:19.581957,Jacksonville Jaguars,gtbets,3.73
