time,team,site,odds
2020-12-28 21:32:13.827845,Cincinnati Bengals,williamhill_us,6.25
2020-12-28 21:32:13.827846,Cincinnati Bengals,fanduel,5.5
2020-12-28 21:32:13.827848,Cincinnati Bengals,bookmaker,6.06
2020-12-28 21:32:13.827849,Cincinnati Bengals,pointsbetus,6.0
2020-12-28 21:32:13.827851,Cincinnati Bengals,bovada,6.0
2020-12-28 21:32:13.827852,Cincinnati Bengals,sugarhouse,5.75
2020-12-28 21:32:13.827853,Cincinnati Bengals,betrivers,5.75
2020-12-28 21:32:13.827855,Cincinnati Bengals,unibet,5.75
2020-12-28 21:32:13.827856,Cincinnati Bengals,draftkings,5.75
2020-12-28 21:32:13.827858,Cincinnati Bengals,betmgm,6.25
2020-12-28 21:32:13.827859,Cincinnati Bengals,gtbets,6.4
2020-12-28 21:32:13.827860,Cincinnati Bengals,betfair,6.2
2020-12-28 21:32:13.827862,Cincinnati Bengals,caesars,6.0
2020-12-28 21:32:13.827864,Atlanta Falcons,betonlineag,3.4
2020-12-28 21:32:13.827865,Atlanta Falcons,williamhill_us,3.4
2020-12-28 21:32:13.827867,Atlanta Falcons,lowvig,3.4
2020-12-28 21:32:13.827868,Atlanta Falcons,fanduel,3.35
2020-12-28 21:32:13.827870,Atlanta Falcons,unibet,3.6
2020-12-28 21:32:13.827871,Atlanta Falcons,betrivers,3.6
2020-12-28 21:32:13.827875,Atlanta Falcons,sugarhouse,3.6
2020-12-28 21:32:13.827877,Atlanta Falcons,draftkings,3.6
2020-12-28 21:32:13.827878,Atlanta Falcons,betmgm,3.25
2020-12-28 21:32:13.827880,Atlanta Falcons,bovada,3.3
2020-12-28 21:32:13.827881,Atlanta Falcons,betfair,3.45
2020-12-28 21:32:13.827883,Atlanta Falcons,pointsbetus,3.3
2020-12-28 21:32:13.827884,Atlanta Falcons,bookmaker,3.37
2020-12-28 21:32:13.827885,Atlanta Falcons,gtbets,3.45
2020-12-28 21:32:13.827887,Atlanta Falcons,caesars,3.3
2020-12-28 21:32:13.827888,Tampa Bay Buccaneers,betonlineag,1.35
2020-12-28 21:32:13.827890,Tampa Bay Buccaneers,williamhill_us,1.36
2020-12-28 21:32:13.827891,Tampa Bay Buccaneers,lowvig,1.35
2020-12-28 21:32:13.827892,Tampa Bay Buccaneers,fanduel,1.34
2020-12-28 21:32:13.827894,Tampa Bay Buccaneers,unibet,1.32
2020-12-28 21:32:13.827895,Tampa Bay Buccaneers,betrivers,1.32
2020-12-28 21:32:13.827897,Tampa Bay Buccaneers,sugarhouse,1.32
2020-12-28 21:32:13.827899,Tampa Bay Buccaneers,draftkings,1.32
2020-12-28 21:32:13.827900,Tampa Bay Buccaneers,betmgm,1.36
2020-12-28 21:32:13.827902,Tampa Bay Buccaneers,bovada,1.36
2020-12-28 21:32:13.827903,Tampa Bay Buccaneers,betfair,1.36
2020-12-28 21:32:13.827904,Tampa Bay Buccaneers,pointsbetus,1.34
2020-12-28 21:32:13.827906,Tampa Bay Buccaneers,bookmaker,1.34
2020-12-28 21:32:13.827923,Tampa Bay Buccaneers,gtbets,1.34
2020-12-28 21:32:13.827925,Tampa Bay Buccaneers,caesars,1.37
2020-12-28 21:32:13.827931,Houston Texans,lowvig,3.9
2020-12-28 21:32:13.827933,Houston Texans,williamhill_us,3.95
2020-12-28 21:32:13.827934,Houston Texans,fanduel,3.85
2020-12-28 21:32:13.827936,Houston Texans,betonlineag,3.9
2020-12-28 21:32:13.827937,Houston Texans,sugarhouse,3.8
2020-12-28 21:32:13.827939,Houston Texans,draftkings,3.8
2020-12-28 21:32:13.827940,Houston Texans,unibet,3.8
2020-12-28 21:32:13.827941,Houston Texans,betrivers,3.8
2020-12-28 21:32:13.827943,Houston Texans,gtbets,3.8
2020-12-28 21:32:13.827944,Houston Texans,bovada,3.8
2020-12-28 21:32:13.827946,Houston Texans,betfair,4.0
2020-12-28 21:32:13.827947,Houston Texans,pointsbetus,3.85
2020-12-28 21:32:13.827948,Houston Texans,betmgm,3.9
2020-12-28 21:32:13.827950,Tennessee Titans,lowvig,1.28
2020-12-28 21:32:13.827952,Tennessee Titans,williamhill_us,1.28
2020-12-28 21:32:13.827953,Tennessee Titans,fanduel,1.28
2020-12-28 21:32:13.827955,Tennessee Titans,betonlineag,1.27
2020-12-28 21:32:13.827956,Tennessee Titans,sugarhouse,1.27
2020-12-28 21:32:13.827957,Tennessee Titans,draftkings,1.27
